Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng
Orange,ATN0051,TQ3225075840,20,GSM,1800,27.6,32,,51.46557,-0.095904
Orange,ATN0611,TQ1441082170,15.4,GSM,1800,31.9,32,,51.526358,-0.350582
Orange,ATN0611,TQ1441082170,15.4,UMTS,2100,25.7,,65,51.526358,-0.350582
Orange,ATN0650,TQ2948077160,25.3,GSM,1800,30.9,32,,51.478074,-0.135278
Orange,ATN0650,TQ2948077160,25.3,UMTS,2100,29.5,,65,51.478074,-0.135278
Orange,ATN0700,TQ3815075600,12.2,UMTS,2100,25.9,,65,51.462003,-0.011105
Orange,ATN0802,TQ4949083470,13.9,UMTS,2100,30.1,,65,51.529842,0.155368
Orange,ATN0809,TQ3895082270,18.9,GSM,1800,29.5,32,,51.521751,0.003031
Orange,ATN0809,TQ3895082270,18.9,UMTS,2100,29.5,,65,51.521751,0.003031
Orange,ATN0910,TQ3201087330,24,UMTS,2100,29.2,,65,51.568892,-0.095052
Orange,BRK7015,TQ0390079950,9.1,GSM,1800,20.5,32,,51.508433,-0.502698
Orange,BRK7015,TQ0390079950,9.1,UMTS,2100,16.2,,65,51.508433,-0.502698
Orange,BRK7051,TQ0394080530,9,GSM,1800,23.5,32,,51.51364,-0.501951
Orange,BRK7075,TQ0370076600,11.5,GSM,1800,21.7,32,,51.478355,-0.506564
Orange,BRK7075,TQ0370076600,11.5,UMTS,2100,17.6,,65,51.478355,-0.506564
Orange,BUK0110,TQ0445080600,14,GSM,1800,26.1,32,,51.514175,-0.494583
Orange,BUK0110,TQ0445080600,14,UMTS,2100,28.4,,65,51.514175,-0.494583
Orange,BUK7083,TQ0404088570,9,GSM,1800,23.9,32,,51.585895,-0.498132
Orange,BUK7083,TQ0404088570,9,UMTS,2100,20,,65,51.585895,-0.498132
Orange,BUK7084,TQ0405087890,9,GSM,1800,23.5,32,,51.579781,-0.498189
Orange,BUK7084,TQ0405087890,9,UMTS,2100,19.9,,65,51.579781,-0.498189
Orange,ESX0001,TQ5971080600,16,GSM,1800,24.8,32,,51.501256,0.301297
Orange,ESX0001,TQ5971080600,16,UMTS,2100,29.8,,65,51.501256,0.301297
Orange,ESX0002,TQ5322096360,20,GSM,1800,27.9,32,,51.644668,0.214733
Orange,ESX0002,TQ5322096360,20,UMTS,2100,28.2,,65,51.644668,0.214733
Orange,ESX0017,TQ5948094140,21.3,GSM,1800,27.9,32,,51.62298,0.30413
Orange,ESX0017,TQ5948094140,21.3,UMTS,2100,27.7,,65,51.62298,0.30413
Orange,ESX0019,TQ4725092150,15.3,GSM,1800,27.5,32,,51.608431,0.126734
Orange,ESX0019,TQ4725092150,15.3,UMTS,2100,29.8,,65,51.608431,0.126734
Orange,ESX0020,TQ4308096480,18.5,GSM,1800,28.7,32,,51.648418,0.068319
Orange,ESX0020,TQ4308096480,18.5,UMTS,2100,28.5,,65,51.648418,0.068319
Orange,ESX0033,TQ5780078800,37,GSM,1800,29.9,32,,51.485619,0.272994
Orange,ESX0033,TQ5780078800,37,UMTS,2100,29.9,,65,51.485619,0.272994
Orange,ESX0045,TQ5615099450,46,GSM,1800,26.6,32,,51.671626,0.25843
Orange,ESX0073,TQ6165078250,37.4,GSM,1800,31.4,32,,51.47959,0.32815
Orange,ESX0073,TQ6165078250,37.4,UMTS,2100,29.9,,65,51.47959,0.32815
Orange,ESX0085,TQ4100094000,18.5,GSM,1800,27.8,32,,51.626657,0.037272
Orange,ESX0089,TQ5634093170,29.3,GSM,1800,26.8,32,,51.615146,0.258369
Orange,ESX0089,TQ5634093170,29.3,UMTS,2100,27.9,,65,51.615146,0.258369
Orange,ESX0100,TQ5720076390,15,GSM,1800,29.4,32,,51.464131,0.263286
