OBJECTID,Borough,Holding_Name,Address,Post_Code,UPRN,Easting,Northing
1,Ealing,ACTON,27 Gunnersbury Lane,W3 8EA,,519693.0,180087.0
2,Croydon,ADDINGTON,197-199 Lodge Lane,CR0 0QA,,537713.0,163274.0
3,Barking and Dagenham,BARKING (including workshop),"Alfred's Way, Barking, Essex",IG11 0BB,,544987.0,183294.0
4,Barnet,BARNET,144 Station Road,EN5 1TE,,525594.0,195828.0
5,Wandsworth,BATTERSEA,11 Este Road ,SW11 2TL,,527254.0,175842.0
6,Bromley,BECKENHAM,8 Beckenham Road,BR3 4LR,,536819.0,169511.0
7,Tower Hamlets,BETHNAL GREEN,11 Roman Road,E2 0HU,,535127.0,182792.0
8,Bexley,BEXLEY,"172 Erith Road, Bexleyheath",DA7 6BY,,549713.0,175769.0
9,Bromley,BIGGIN HILL,2 Kingsmead,TN16 3UB,,541872.0,159129.0
10,Waltham Forest,WALTHAMSTOW,343 Forest Road,E17 5JR,,536652.0,189726.0
11,Wandsworth,WANDSWORTH,"45 West Hill, Wandsworth",SW18 1RL,,525058.0,174584.0
12,Brent,WEMBLEY,591a Harrow Road,HA0 2EG,,517690.0,184992.0
13,Havering,WENNINGTON,Wennington Road,RM13 9EE,,554191.0,180900.0
14,Camden,WEST HAMPSTEAD,325 West End Lane,NW6 1RR,,525384.0,185185.0
16,Tower Hamlets,WHITECHAPEL,27 Commercial Road,E1 1LD,,534073.0,181364.0
17,Brent,WILLESDEN,59a Pound Lane,NW10 2HH,,522352.0,184288.0
18,Merton,WIMBLENDON,87 Kingston Road,SW19 1JN,,525437.0,170050.0
19,Redbridge,WOODFORD,2 Snakes Lane,IG8 0BS,,540245.0,192022.0
20,Croydon,WOODSIDE,"2 Long Lane, Addiscombe Road, Croydon ",CR0 7AL,,534944.0,166981.0
21,Havering,HAROLD HILL,"Unit 7, 8 and 9 Falcon Business Centre, Spilsbury Rd",RM3 8QN,,554184.0,191156.0
22,Merton,MITCHAM,"421-445 London Road, Mitcham, Surrey ",CR4 4BJ,,527227.0,168057.0
23,Lambeth,WEST NORWOOD,"210 Knights Hill, West Norwood",SE27 0QA,,531802.0,171366.0
24,Lambeth,BRIXTON,"84 Gresham Road, Brixton",SW9 7NP,,531414.0,175557.0
25,Bromley,BROMLEY,"4 South Street, Bromley, Kent",BR1 1RH,,540386.0,169489.0
26,Kensington and Chelsea,CHELSEA,264 Kings Road,SW3 5UF,,527131.0,178061.0
27,Waltham Forest,CHINGFORD,34 The Ridgeway,E4 6PP,,538190.0,194190.0
28,Hounslow,CHISWICK,2-4 Heathfield Gardens,W4 4JY,,520272.0,178258.0
29,Lambeth,CLAPHAM,29 Old Town,SW4 0JT,,529259.0,175637.0
30,Islington,CLERKENWELL,42-44 Rosebery Avenue,EC1R 4RN,,531186.0,182306.0
31,Croydon,CROYDON,90 Old Town,CR0 1AR,,531968.0,165046.0
32,Barking and Dagenham,DAGENHAM,70 Rainham Road North,RM10 7ES,,549622.0,186714.0
33,Lewisham,DEPTFORD,186 Evelyn Street,SE5 8PR,,533586.0,176741.0
34,Southwark,DOCKHEAD,8 Wolseley Street,SE1 2BP,,534016.0,179750.0
35,City of London,DOWGATE,94-95 Upper Thames Street,EC4R 3UE,,532628.0,180728.0
36,Ealing,EALING,60-64 Uxbridge Road,W13 8RA,,517090.0,180596.0
37,Greenwich,EAST GREENWICH,"235 Woolwich Road, London",SE7 7RF,,540506.0,178384.0
38,Newham,EAST HAM,210 High Street South,E6 3RS,,542787.0,182495.0
39,Enfield,EDMONTON,99 Church Street,N9 9AA,,533749.0,193822.0
40,Greenwich,ELTHAM,266 Eltham High Street,SE9 1BA,,543194.0,174414.0
41,Enfield,ENFIELD,93 Carterhatch Lane,EN1 4LA,,534836.0,197522.0
42,Bexley,ERITH,"52 Erith Road, Belvedere Kent",DA17 6HR,,549830.0,178500.0
43,Camden,EUSTON,172 Euston Road,NW1 2DH,,529767.0,182633.0
44,Hounslow,FELTHAM,101 Faggs Road,TW14 0LH,,510290.0,174716.0
45,Barnet,FINCHLEY,227 Long Lane,N3 2RP,,526194.0,190347.0
46,Lewisham,FOREST HILL,155 Stansted Road,SE23 1HP,,535961.0,173331.0
47,Hammersmith and Fulham,FULHAM,685 Fulham Road,SW6 5UJ,,525034.0,176953.0
