name,local authority,longitude,latitude,status,current,proposed
BARKING LEARNING ANNEX,BARKING & DAGENHAM,0.080059,51.537449,keep,24HR,24HR
MARKS GATE POLICE OFFICE,BARKING & DAGENHAM,0.137554,51.583589,cut,DAY TIME,CLOSED
DAGENHAM POLICE STATION,BARKING & DAGENHAM,0.165429714,51.54503345,cut,24HR,CLOSED
BARKING POLICE STATION,BARKING & DAGENHAM,0.08008995,51.53834435,cut,24HR,CLOSED
COLINDALE POLICE STATION,BARNET,-0.240914186,51.59677949,keep,24HR,24HR
WHETSTONE POLICE STATION,BARNET,-0.175500,51.631300,cut,DAY TIME,CLOSED
BARNET POLICE STATION,BARNET,-0.198299,51.6525188,cut,DAY TIME,CLOSED
GOLDERS GREEN POLICE STATION,BARNET,-0.198942,51.580613,keep,DAY TIME,DAY TIME
BEXLEYHEATH POLICE STATION,BEXLEY,0.149214299,51.45695245,keep,24HR,24HR
MARLOWE HOUSE,BEXLEY,0.10183,51.433706,keep,VOLUNTEER,DAY TIME
BELVEDERE POLICE STATION,BEXLEY,0.143858,51.480660,cut,VOLUNTEER,CLOSED
WEMBLEY POLICE STATION,BRENT,-0.305709699,51.55151622,keep,24HR,24HR
KILBURN POLICE STATION,BRENT,-0.205230993,51.53483068,keep,24HR,DAY TIME
HARLESDEN POLICE STATION,BRENT,-0.2542654,51.5412524,cut,DAY TIME,CLOSED
WILLESDEN GREEN POLICE STATION,BRENT,-0.230742713,51.54715849,cut,DAY TIME,CLOSED
BROMLEY POLICE STATION,BROMLEY,0.017774578,51.39940111,keep,24HR,24HR
COPPERFIELD HOUSE,BROMLEY,-0.054331,51.415449,keep,DAY TIME,DAY TIME
BIGGIN HILL AIRPORT,BROMLEY,0.038666,51.308469,cut,DAY TIME,CLOSED
WEST WICKHAM POLICE OFFICE,BROMLEY,-0.015565,51.375707,keep,VOLUNTEER,DAY TIME
ORPINGTON POLICE STATION,BROMLEY,0.1003208,51.375028,cut,VOLUNTEER,CLOSED
HOLBORN POLICE STATION HQ OFFICES & ARO,CAMDEN,-0.11743,51.520812,keep,24HR,24HR
KENTISH TOWN POLICE STATION,CAMDEN,-0.142101618,51.54964871,keep,24HR,DAY TIME
WEST HAMPSTEAD POLICE STATION,CAMDEN,-0.196044,51.553692,cut,DAY TIME,CLOSED
ALBANY STREET POLICE STATION,CAMDEN,-0.1440082,51.5265494,cut,DAY TIME,CLOSED
HAMPSTEAD POLICE STATION,CAMDEN,-0.170852,51.554201,cut,DAY TIME,CLOSED
CROYDON POLICE STATION,CROYDON,-0.095654916,51.37054547,keep,24HR,24HR
"PURLEY, WHYTECLIFFE ROAD SOUTH 9 & 11",CROYDON,-0.114493,51.3382691,cut,VOLUNTEER,CLOSED
KENLEY POLICE STATION,CROYDON,-0.0989356,51.3250422,cut,DAY TIME,CLOSED
ADDINGTON POLICE STATION,CROYDON,-0.030036,51.358605,cut,DAY TIME,CLOSED
NORBURY POLICE STATION,CROYDON,-0.123300,51.412500,cut,DAY TIME,CLOSED
SOUTH NORWOOD POLICE STATION,CROYDON,-0.0774965,51.3984593,cut,24HR,CLOSED
ACTON POLICE STATION,EALING,-0.275905,51.508492,keep,24HR,24HR
GREENFORD POLICE STATION,EALING,-0.3548474,51.5292719,cut,DAY TIME,CLOSED
SOUTHALL POLICE STATION,EALING,-0.372068551,51.51106709,keep,24HR,DAY TIME
EALING POLICE STATION **,EALING,-0.3106675,51.5122865,keep,24HR,CLOSED
EDMONTON POLICE STATION,ENFIELD,-0.061076644,51.62232686,keep,24HR,24HR
ENFIELD POLICE STATION,ENFIELD,-0.0804537,51.6553348,keep,24HR,DAY TIME
SOUTHGATE POLICE STATION,ENFIELD,-0.131454,51.6333343,cut,DAY TIME,CLOSED
WINCHMORE HILL POLICE STATION,ENFIELD,-0.097269,51.630279,cut,VOLUNTEER,CLOSED
PLUMSTEAD POLICE STATION,GREENWICH,0.095775,51.486530,keep,24HR,24HR
ELTHAM POLICE STATION,GREENWICH,0.052405,51.451578,keep,DAY TIME,DAY TIME
"THAMESMEAD, JOYCE DAWSON WAY 11",GREENWICH,0.10705,51.507066,cut,DAY TIME,CLOSED
GREENWICH POLICE STATION,GREENWICH,-0.0098948,51.4779843,cut,24HR,CLOSED
WOOLWICH POLICE STATION,GREENWICH,0.06371,51.489995,cut,DAY TIME,CLOSED
STOKE NEWINGTON POLICE STATION,HACKNEY,-0.0745483,51.557883,keep,24HR,24HR
SHOREDITCH POLICE STATION,HACKNEY,-0.0914175,51.5287206,keep,24HR,DAY TIME
HACKNEY POLICE STATION,HACKNEY,-0.053043,51.550489,cut,24HR,CLOSED
HAMMERSMITH POLICE STATION & ANNEXES,HAMMERSMITH & FULHAM,-0.224,51.494731,keep,24HR,24HR
FULHAM POLICE STATION,HAMMERSMITH & FULHAM,-0.200054491,51.47929856,keep,24HR,DAY TIME
SHEPHERDS BUSH POLICE STATION,HAMMERSMITH & FULHAM,-0.229554,51.506229,cut,DAY TIME,CLOSED
TOTTENHAM POLICE STATION,HARINGEY,-0.069760073,51.59087668,keep,24HR,DAY TIME
FISHMONGERS ARMS 287 HIGH ROAD (GROUND FLOOR),HARINGEY,-0.112098,51.600894,keep,24HR,24HR
HORNSEY POLICE STATION,HARINGEY,-0.115966,51.584863,keep,24HR,DAY TIME
MUSWELL HILL POLICE STATION,HARINGEY,-0.1535713,51.5909734,cut,VOLUNTEER,CLOSED
HARROW CENTRAL - KIRKLAND HOUSE GROUND FLOOR,HARROW,-0.3334483,51.5774865,keep,24HR,24HR
PINNER POLICE STATION,HARROW,-0.386651,51.596455,cut,VOLUNTEER,CLOSED
ROMFORD POLICE STATION,HAVERING,0.1856606,51.5811389,keep,24HR,24HR
RAINHAM POLICE OFFICE,HAVERING,0.190059024,51.51785384,cut,DAY TIME,CLOSED
HAVERING PASC,HAVERING,0.183579378,51.58076407,cut,DAY TIME,CLOSED
STRAIGHT ROAD 84-86,HAVERING,0.20946535,51.6042723,cut,DAY TIME,CLOSED
HORNCHURCH POLICE STATION,HAVERING,0.220057,51.559186,cut,DAY TIME,CLOSED
HILLINGDON (UXBRIDGE) POLICE STATION,HILLINGDON,-0.480837,51.549128,keep,24HR,24HR
HAYES POLICE STATION DAYTIME,HILLINGDON,-0.435015,51.525101,keep,DAY TIME,DAY TIME
NORTHWOOD POLICE OFFICE,HILLINGDON,-0.425747,51.610699,cut,VOLUNTEER,CLOSED
RUISLIP POLICE STATION,HILLINGDON,-0.427563,51.5761001,keep,DAY TIME,DAY TIME
HOUNSLOW POLICE STATION,HOUNSLOW,-0.364292869,51.46907744,keep,24HR,24HR
CHISWICK POLICE STATION,HOUNSLOW,-0.2598302,51.4924158,keep,24HR,DAY TIME
FELTHAM POLICE STATION,HOUNSLOW,-0.4038563,51.4466045,cut,DAY TIME,CLOSED
BRENTFORD POLICE STATION,HOUNSLOW,-0.3063283,51.4839512,cut,DAY TIME,CLOSED
